time,Xrefc,Yrefc,Xrobotc,Yrobotc,ISExc,ISEyc
0,0,0,0.000185889,1.29E-05,0,0
0.1,0.003299398,4.12E-05,0.00184549,-2.44E-05,3.63E-07,2.75E-11
0.2,0.006595189,0.000164914,0.004482637,-4.82E-05,4.31E-07,3.73E-10
0.3,0.009883768,0.000370815,0.008634292,-0.000143233,7.61E-07,1.35E-09
0.4,0.013161542,0.000658626,0.011825823,0.000433544,1.13E-06,3.50E-09
0.5,0.016424933,0.001027897,0.014173556,0.00102648,1.54E-06,7.40E-09
0.6,0.019670381,0.001478051,0.016837691,0.000830243,1.98E-06,1.36E-08
0.7,0.022894351,0.002008384,0.021102685,0.001268943,2.42E-06,2.28E-08
0.8,0.026093339,0.002618067,0.023696461,0.002115749,2.87E-06,3.56E-08
0.9,0.029263873,0.003306145,0.026845627,0.002414059,3.31E-06,5.24E-08
1,0.032402519,0.004071543,0.030685067,0.003283863,3.75E-06,7.40E-08
1.1,0.03550589,0.004913061,0.033031774,0.004350596,4.18E-06,1.01E-07
1.2,0.038570642,0.005829382,0.036222131,0.004886685,4.60E-06,1.34E-07
1.3,0.041593488,0.00681907,0.039524144,0.006395766,5.00E-06,1.73E-07
1.4,0.044571195,0.007880571,0.043325432,0.007347984,5.40E-06,2.19E-07
1.5,0.047500594,0.009012222,0.046179011,0.008197069,5.78E-06,2.72E-07
1.6,0.050378579,0.010212244,0.047696874,0.009359073,6.14E-06,3.34E-07
1.7,0.053202116,0.011478751,0.051455177,0.010636337,6.50E-06,4.03E-07
1.8,0.055968243,0.012809752,0.05454511,0.011936313,6.83E-06,4.82E-07
1.9,0.058674078,0.014203152,0.056336703,0.013324603,7.16E-06,5.69E-07
2,0.061316819,0.015656754,0.059167944,0.014517263,7.47E-06,6.67E-07
2.1,0.063893753,0.017168267,0.061437607,0.015956698,7.76E-06,7.73E-07
2.2,0.066402251,0.018735303,0.06484023,0.017314089,8.04E-06,8.90E-07
2.3,0.068839783,0.020355386,0.067668148,0.018802037,8.30E-06,1.02E-06
2.4,0.07120391,0.02202595,0.069702373,0.020736434,8.55E-06,1.15E-06
2.5,0.073492295,0.02374435,0.071556522,0.022824235,8.79E-06,1.30E-06
2.6,0.075702704,0.025507856,0.07359117,0.023754736,9.01E-06,1.46E-06
2.7,0.077833009,0.027313668,0.075766905,0.025744924,9.21E-06,1.62E-06
2.8,0.079881188,0.02915891,0.078354386,0.02825546,9.40E-06,1.80E-06
2.9,0.081845333,0.03104064,0.079786116,0.029397054,9.58E-06,1.98E-06
3,0.083723648,0.032955853,0.081765751,0.031840832,9.75E-06,2.18E-06
3.1,0.085514454,0.034901484,0.084603364,0.033383292,9.90E-06,2.38E-06
3.2,0.08721619,0.036874414,0.085360163,0.035039691,1.00E-05,2.59E-06
3.3,0.088827416,0.038871473,0.088037698,0.037529406,1.02E-05,2.80E-06
3.4,0.090346812,0.040889445,0.089691502,0.039756055,1.03E-05,3.03E-06
3.5,0.091773186,0.042925074,0.090629453,0.041071275,1.04E-05,3.25E-06
3.6,0.093105467,0.044975067,0.091991659,0.043551107,1.05E-05,3.48E-06
3.7,0.094342714,0.047036099,0.092717265,0.045118694,1.06E-05,3.72E-06
3.8,0.095484112,0.049104816,0.094833133,0.047689334,1.07E-05,3.96E-06
3.9,0.096528978,0.051177845,0.095740505,0.049968169,1.07E-05,4.20E-06
4,0.097476755,0.053251794,0.096657214,0.052147565,1.08E-05,4.43E-06
4.1,0.098327018,0.055323257,0.098002878,0.053697757,1.08E-05,4.67E-06
4.2,0.099079475,0.057388822,0.098342081,0.055626792,1.09E-05,4.91E-06
4.3,0.099733962,0.059445073,0.098896631,0.058349447,1.09E-05,5.14E-06
4.4,0.100290449,0.061488597,0.099411251,0.060400124,1.10E-05,5.37E-06
4.5,0.100749035,0.063515987,0.100862912,0.062065449,1.10E-05,5.60E-06
4.6,0.10110995,0.065523848,0.100379525,0.064364744,1.10E-05,5.82E-06
4.7,0.101373557,0.067508801,0.1009892,0.06572706,1.10E-05,6.03E-06
4.8,0.101540347,0.069467489,0.101829895,0.067866852,1.10E-05,6.23E-06
4.9,0.101610939,0.071396581,0.102017217,0.070163698,1.10E-05,6.43E-06
5,0.101586082,0.073292777,0.100601508,0.071437094,1.10E-05,6.62E-06
5.1,0.10146665,0.075152813,0.101571336,0.073960595,1.10E-05,6.80E-06
5.2,0.101253644,0.076973466,0.100467785,0.075976701,1.10E-05,6.97E-06
5.3,0.100948188,0.078751555,0.101156426,0.077306026,1.10E-05,7.12E-06
5.4,0.100551529,0.080483952,0.099946929,0.079577832,1.10E-05,7.27E-06
5.5,0.100065033,0.082167582,0.100857385,0.080734503,1.10E-05,7.41E-06
5.6,0.099490186,0.083799427,0.099840077,0.08260278,1.10E-05,7.53E-06
5.7,0.098828587,0.085376535,0.098587093,0.084630275,1.10E-05,7.65E-06
5.8,0.098081953,0.086896018,0.098761591,0.08626264,1.11E-05,7.75E-06
5.9,0.097252109,0.088355061,0.097247983,0.087058178,1.11E-05,7.84E-06
6,0.096340989,0.089750924,0.096096454,0.088711763,1.11E-05,7.92E-06
